conversation_id,message_id,message_text,sentiment,topic,bot_answered
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,9f1fae7e-22c0-4270-b546-e5d96aa462d2,Davet sayısını 600 e çekelim o zaman,Nötr,Diğer,Evet
9f1fb51c-a029-4691-973d-63772a5f82ab,9f1fb6af-a40d-4d23-8299-60a87d6746de,Adıyaman Kahta köşk düğün salonu,Nötr,Düğün Mekanları,Hayır
9f1fb55f-544f-4c63-bcf0-4bba9aa984d5,9f1fb730-0afa-42f0-a463-2a43edff0400,Peki uygun fiyata olnine site bula bilirmisib,Nötr,Diğer,Hayır
9f1fc574-98e7-4e66-b86c-e77c51347f3b,9f1fc5fb-5df7-4fc3-8743-7675faf1a485,Düğün mekanı,Nötr,Düğün Mekanları,Hayır
9f1fd866-240c-42d0-a3b5-84133bcba6fb,9f1fd92b-4f45-4469-9930-19fe097bc91a,https://images.app.goo.gl/cid7SnWHy1pyLv118,Nötr,Diğer,Hayır
9f1fda47-f4d0-4293-ac53-8b46ff243af4,9f1fdb2e-36dc-4195-a9e5-d0af8f0e94a0,Fiyatı ne kadar,Nötr,Diğer,Hayır
9f208c53-9dd0-4a3c-bcfc-2e880230d355,9f208ce3-c51e-4874-8daf-092787abe7d3,100,Nötr,Diğer,Hayır
9f209ce4-52c0-4749-87a6-4dd467d90ad3,9f20a3dc-7cd5-4df6-8300-08549a5c8ea4,28 haziran akşam saatlerinde  yemek - pasta - ve fotoğraf video çekimi içinde 50 kişilik fiyat teklifi alabilir miyim,Nötr,Düğün Mekanları,Hayır
9f20adf9-c1fe-48cf-9764-9295851df285,9f20ae9a-e9b4-48aa-9101-9a32f298852f,Hicbiri,Nötr,Diğer,Hayır
9f20b600-d0ba-4b3b-8a79-fbc063130a19,9f20b69e-89e3-44f9-b789-6ca7a1f9e291,Gebze sadece,Nötr,Diğer,Hayır
9f20bc62-12c6-45de-ac67-15fbdb278451,9f20be86-51c5-4917-a574-4572f3057429,Sence hangisi daha iyi? Karar vermekte zorlanıyorum.,Nötr,Diğer,Hayır
9f20d064-7c3a-4319-969d-8861296da451,9f20d17f-038b-4965-9f30-fb539c4606a4,Deniz kenarı,Nötr,Düğün Mekanları,Hayır
9f211352-2622-4515-ba21-855cad8650a7,9f2114f4-b233-46df-84b8-31bd234fa5e2,Defne,Nötr,Diğer,Hayır
9f2120f9-66af-450e-b741-02e0095f1907,9f212219-f536-48db-b7bf-6c24106a1d9c,evet bakabilirsiniz,Pozitif,Diğer,Evet
9f216298-e98d-4d12-b3d8-a42064b21293,9f21633b-ba51-4cd9-8d6a-712c94948106,kapalı,Nötr,Diğer,Hayır
9f2163e4-68fd-4d5d-9be5-de2597a39773,9f216754-0b17-410e-9eee-2107ab769e5f,Aynı paket program,Nötr,Organizasyon Firmaları,Hayır
9f2193d3-f217-4b47-8ade-13906b44764d,9f2196fa-3658-4763-94df-ded9824810a7,120 bin,Nötr,Diğer,Hayır
9f21967e-3589-40cf-8023-6d342f58e416,9f21969e-5f2a-41b8-8bb1-1657d05d0a6c,Ankara Keçiören,Nötr,Diğer,Hayır
9f21d05d-9f1a-477a-8276-06535e16b336,9f21d12c-3f9e-4294-ab28-edf6d87754c2,2 kisiyiz pazartesi günü ve boyama yapmamıza izin verecek bir kafe,Nötr,Diğer,Hayır
