conversation_id,message,answered,sentiment,category,intent
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,"Merhaba, ben Hera. Size uygun mekanı veya firmayı bulmanız konusunda yardımcı olabilirim.",Yes,negative,Mekan,Mekan arıyor
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,Ne tür bir etkinlik yapmayı düşünüyorsunuz?,Yes,positive,Diğer,Belirsiz
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,"Harika, **kına gecesi** için yardımcı olabilirim! Şimdi birkaç detay daha öğrenmem gerekiyor:

1. **Hangi şehir ve ilçede** kına gecesi yapmak istiyorsunuz?
2. Nasıl bir hizmet arıyorsunuz? (Sadece mekan mı, yoksa organizasyon, fotoğrafçı gibi ek hizmetler de ister misiniz?)",Yes,positive,Mekan,Mekan arıyor
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,Diyarbakır’da hem düğün hem kına,Yes,positive,Diğer,Belirsiz
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,"Çok güzel! **Diyarbakır’da hem düğün hem de kına gecesi** için seçenekler sunabilirim. Size en uygun mekan ve hizmetleri önerebilmem için birkaç bilgiye daha ihtiyacım var:

1. **Tahmini düğün ve kına tarihi** nedir? (Yıl-ay veya tam tarih olarak paylaşabilirsiniz.)
2. **Tahmini davetli sayısı** kaç olacak?
3. İkram tercihiniz nedir? (Yemekli, kokteyl, pasta ve meşrubat gibi)
4. Sadece mekan mı arıyorsunuz, yoksa organizasyon, fotoğrafçı gibi ek hizmetler de ister misiniz?
5. Kişi başı veya toplam **bütçeniz** nedir?

Bu bilgileri paylaşırsanız, Diyarbakır ve yakın ilçelerde size en uygun önerileri sunabilirim!",Yes,positive,Mekan,Mekan arıyor
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,"2 ay sonra düşünüyoruz 700 davetli gelecek ikram olarak içecek ve ,pasta ve meşrubat istiyoruz",Yes,negative,Diğer,Belirsiz
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,"Teşekkürler, bilgiler için! Şu ana kadar elimde olanlar:

- **Etkinlik türü:** Düğün & Kına gecesi
- **Şehir:** Diyarbakır
- **Tarih:** Yaklaşık 2 ay sonra (Ağustos 2025)
- **Davetli sayısı:** 700 kişi
- **İkram tercihi:** Pasta ve meşrubat (yemeksiz, içecekli)

Şimdi birkaç detay daha rica edeceğim:
1. Sadece **mekan** mı arıyorsunuz, yoksa organizasyon, fotoğrafçı gibi ek hizmetler de ister misunuz?
2. **Kişi başı veya toplam bütçeniz** nedir? (Bütçenizi belirtirseniz, en uygun mekanları ve firmaları önerebilirim.)
3. Mekan tercihiniz var mı? (Açık alan, kapalı salon, havuz başı, kır düğünü vb.)

Bu detayları da paylaşırsanız, Diyarbakır ve yakın ilçelerde size en uygun mekan ve hizmetleri hemen önerebilirim!",Yes,positive,Mekan,Mekan arıyor
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,"Mekan ve fotoğraf ,100 bin tl bütçemiz var kapalı alanda",Yes,positive,Mekan,Mekan arıyor
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,"İstediğiniz kriterlere uygun yeteri kadar sonuç bulamadım, ama beğenebileceğiniz bazı güzel alternatifler için tekrar arama yapıyorum...",Yes,negative,Diğer,Belirsiz
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,"Kullanıcının belirttiği kriterlere uygun mekan bulunamadığında, şu adımları takip eden bir mesaj oluştur:
1. Uygun mekan bulunamadığını bildir.
2. Kriterlerin genişletilmesi gerektiğini açıkla.
3. Kullanıcıya kriterleri esnetmesini veya yeni bir arama yapmasını öner.

Not: Bir sonraki mesajda Function Call kullanma; kullanıcı yeni bir arama yapmak isterse, uygun function call'u çalıştır.",Yes,positive,Mekan,Mekan arıyor
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,"Şu anda belirttiğiniz kriterlere (Diyarbakır, 700 kişi, kapalı alan, mekan + fotoğraf, 100 bin TL bütçe) tam olarak uyan bir mekan bulamadım. 

Ancak, isterseniz:
- **Yakın ilçelerde** veya Diyarbakır çevresinde arama yapabilirim,
- **Davetli sayısını** biraz azaltabilir veya
- **Bütçenizi** esnetebilirseniz,
daha fazla seçenek sunabilirim.

Kriterlerinizde bir değişiklik yapmak ister misiniz? Ya da farklı bir öneri ister misiniz? Size en iyi şekilde yardımcı olmak isterim!",Yes,positive,Mekan,Mekan arıyor
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,Davet sayısını 600 e çekelim o zaman,Yes,positive,Diğer,Belirsiz
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,"İstediğiniz kriterlere uygun yeteri kadar sonuç bulamadım, ama beğenebileceğiniz bazı güzel alternatifler için tekrar arama yapıyorum...",No,negative,Diğer,Belirsiz
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,"Kullanıcının belirttiği kriterlere uygun mekan bulunamadığında, şu adımları takip eden bir mesaj oluştur:
1. Uygun mekan bulunamadığını bildir.
2. Kriterlerin genişletilmesi gerektiğini açıkla.
3. Kullanıcıya kriterleri esnetmesini veya yeni bir arama yapmasını öner.

Not: Bir sonraki mesajda Function Call kullanma; kullanıcı yeni bir arama yapmak isterse, uygun function call'u çalıştır.",No,positive,Mekan,Mekan arıyor
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,"Ne yazık ki, **Diyarbakır'da 600 kişilik, kapalı alanda, mekan ve fotoğraf hizmeti dahil, 100 bin TL bütçeyle** tam olarak uygun bir mekan bulamadım.

Dilerseniz:
- **Yakın ilçelerde** veya Diyarbakır çevresinde arama yapabilirim,
- **Bütçenizi** biraz artırabilir ya da
- **Davetli sayısını** daha da azaltabilirsiniz.

Kriterlerinizde bir değişiklik yapmak ister misiniz? Alternatif olarak, daha küçük kapasiteli veya açık/yarı açık alan mekanları da önerebilirim. Nasıl ilerlemek istersiniz?",No,negative,Mekan,Mekan arıyor
9f1fad6e-0bc9-4fdf-b0e8-dc6da287b031,Conversation resolved automatically.,No,positive,Diğer,Belirsiz
9f1fb51c-a029-4691-973d-63772a5f82ab,Ne tür bir etkinlik yapmayı düşünüyorsunuz?,Yes,positive,Diğer,Belirsiz
9f1fb51c-a029-4691-973d-63772a5f82ab,"Merhaba, ben Hera. Size uygun mekanı veya firmayı bulmanız konusunda yardımcı olabilirim.",Yes,negative,Mekan,Mekan arıyor
9f1fb51c-a029-4691-973d-63772a5f82ab,"Harika! **Düğün** için mekan veya hizmet arayışındasınız. Size en iyi önerileri sunabilmem için birkaç bilgiye daha ihtiyacım olacak:

1. **Düğününüzü hangi şehir ve ilçede yapmak istiyorsunuz?**
2. **Tahmini düğün tarihiniz belli mi?**
3. **Yaklaşık kaç davetli olacak?**
4. **Nasıl bir hizmet arıyorsunuz?** (Sadece mekan mı, yoksa organizasyon, fotoğrafçı gibi ek hizmetler de ister misiniz?)

Sırayla ilerleyelim! Öncelikle, düğününüzü hangi şehir ve ilçede planlıyorsunuz?",Yes,positive,Mekan,Mekan arıyor
9f1fb51c-a029-4691-973d-63772a5f82ab,Adıyaman Kahta,Yes,positive,Diğer,Belirsiz
9f1fb51c-a029-4691-973d-63772a5f82ab,"Teşekkürler! **Adıyaman Kahta**’da düğün yapmak istiyorsunuz. Şimdi birkaç detay daha rica edeceğim:

1. **Tahmini düğün tarihiniz belli mi?**
2. **Yaklaşık kaç davetliniz olacak?**
3. **Yemekli mi, kokteyl mi, yoksa sadece pasta ve meşrubat ikramı mı düşünüyorsunuz?**
4. Sadece **mekan** mı arıyorsunuz, yoksa **organizasyon**, **fotoğrafçı** gibi ek hizmetler de ister misiniz?

Öncelikle, tahmini düğün tarihinizi öğrenebilir miyim? (Yıl-ay veya tam tarih şeklinde yazabilirsiniz.)",Yes,positive,Mekan,Mekan arıyor
9f1fb51c-a029-4691-973d-63772a5f82ab,Ağustos ayı,Yes,positive,Diğer,Belirsiz
9f1fb51c-a029-4691-973d-63772a5f82ab,"Teşekkürler! **Ağustos ayında** Kahta’da düğün planlıyorsunuz. Şimdi birkaç detay daha rica edeceğim:

1. **Yaklaşık kaç davetliniz olacak?**
2. **İkram tercihiniz nedir?** (Yemekli, kokteyl, pasta ve meşrubat)
3. Sadece **mekan** mı arıyorsunuz, yoksa **organizasyon**, **fotoğrafçı** gibi ek hizmetler de ister misiniz?

Öncelikle, tahmini davetli sayınızı öğrenebilir miyim?",Yes,positive,Mekan,Mekan arıyor
9f1fb51c-a029-4691-973d-63772a5f82ab,200 e Yakın,Yes,positive,Diğer,Belirsiz
9f1fb51c-a029-4691-973d-63772a5f82ab,"Harika, yaklaşık **200 kişilik** bir düğün planlıyorsunuz.

Şimdi, ikram tercihinizi öğrenmek isterim:
- **Yemekli**
- **Kokteyl**
- **Pasta ve meşrubat**

Hangisini tercih ediyorsunuz? Ayrıca, sadece **mekan** mı arıyorsunuz yoksa **organizasyon** veya **fotoğrafçı** gibi ek hizmetler de ister misiniz?",Yes,positive,Mekan,Mekan arıyor
9f1fb51c-a029-4691-973d-63772a5f82ab,Yemekli,Yes,positive,Diğer,Belirsiz
9f1fb51c-a029-4691-973d-63772a5f82ab,"Çok güzel, **yemekli** bir düğün planlıyorsunuz ve yaklaşık 200 davetliniz olacak.

Şimdi son birkaç detay daha rica edeceğim:
1. **Kişi başı bütçeniz** ne kadar? (Yaklaşık bir rakam verebilirsiniz.)
2. Mekan tercihiniz var mı? (Açık alan, kapalı alan, kır düğünü, salon, otel vb. seçeneklerden hangisini istersiniz? Kararsızsanız alternatifler sunabilirim.)

Bu bilgilerle size Kahta ve yakın ilçelerde en uygun düğün mekanlarını önerebilirim. Öncelikle kişi başı bütçenizi öğrenebilir miyim?",Yes,positive,Mekan,Mekan arıyor
9f1fb51c-a029-4691-973d-63772a5f82ab,Açık yada kapalı düğün salonu,Yes,positive,Mekan,Mekan arıyor
